case,suite,label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
all__panel,all,pp512,pp,512,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,263.3568437,34.5055382,,,,,7.9314e-06,1.972818688,,1.972871493
all__panel,all,pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,180953088,0,0,,5,273.9547856,18.34536315,,,,,1.41396e-05,7.503156278,,7.503227216
all__panel,all,tg128,tg,0,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,142336,0,0,,5,,,51.30609403,4.860428613,51.30609403,4.860428613,1.2522e-06,,2.512977989,2.562069474
all__panel,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,295.2806133,34.59647966,50.85190787,6.000416825,50.85190787,6.000416825,6.3244e-06,1.755929131,2.546041791,4.302519733
all__prefill,all,pp512,pp,512,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,90476544,0,0,,5,250.9449059,16.07507239,,,,,8.134e-06,2.047290999,,2.047349289
all__prefill,all,pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,264.0962664,4.468635569,,,,,1.57912e-05,7.756528338,,7.756599415
all__prefill,all,pp8192,pp,8192,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,268.7193723,0.8269726656,,,,,4.93254e-05,30.48556527,,30.48570681
all__decode,all,tg128,tg,0,128,qwen3_8_27b,folded-ternary,513,1024,0,full,cuda_graph,bf16,37748736,7189880832,7189886976,352940800,90592256,0,67108864,90592256,142336,0,0,,5,,,55.90394562,11.48429704,55.90394562,11.48429704,1.7454e-06,,2.358051704,2.412066611
all__decode,all,tg512,tg,0,512,qwen3_8_27b,folded-ternary,513,1024,0,full,cuda_graph,bf16,37748736,7189880832,7189886976,352940800,90592256,0,67108864,90592256,142336,0,0,,5,,,41.87555763,1.640466544,41.87555763,1.640466544,1.7514e-06,,12.24192102,12.33635297
all__kv-bf16,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,bf16,41943040,7189880832,7189886976,358435584,113095680,0,67108864,113095680,90476544,0,0,,5,316.6231368,147.6189959,42.8832081,2.850180166,42.8832081,2.850180166,7.7892e-06,1.829865662,2.994571748,4.825062705
