case,suite,label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
all__panel,all,pp512,pp,512,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,44.52550284,0.7879082811,,,,,1.28674e-05,11.50191931,,11.50200642
all__panel,all,pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,180953088,0,0,,5,50.75222169,0.2903013047,,,,,1.68414e-05,40.3539695,,40.35405875
all__panel,all,tg128,tg,0,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,142336,0,0,,5,,,16.29304756,0.2304995301,16.29304756,0.2304995301,1.59492e-05,,7.857372814,8.232556562
all__panel,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,44.23439864,0.6234430019,16.1592926,0.29424293,16.1592926,0.29424293,8.5408e-06,11.5765488,7.923258167,19.500615
all__prefill,all,pp512,pp,512,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,90476544,0,0,,5,42.93735858,0.7396502615,,,,,8.878e-06,11.9271452,,11.92720388
all__prefill,all,pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,50.32722993,0.4746676293,,,,,1.62238e-05,40.69657998,,40.69666107
all__prefill,all,pp8192,pp,8192,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,50.32779776,0.1850490081,,,,,6.77212e-05,162.7746311,,162.7748104
all__decode,all,tg128,tg,0,128,qwen3_8_27b,folded-ternary,513,1024,0,full,cuda_graph,bf16,37748736,5930360832,5930366976,352940800,90592256,0,67108864,90592256,142336,0,0,,5,,,16.40841747,0.1842657701,16.40841747,0.1842657701,2.2964e-06,,7.801658848,8.031500211
all__decode,all,tg512,tg,0,512,qwen3_8_27b,folded-ternary,513,1024,0,full,cuda_graph,bf16,37748736,5930360832,5930366976,352940800,90592256,0,67108864,90592256,142336,0,0,,5,,,16.29583448,0.1089968485,16.29583448,0.1089968485,1.9876e-06,,31.42019703,31.7337797
all__kv-bf16,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,bf16,41943040,5930360832,5930366976,358435584,113095680,0,67108864,113095680,90476544,0,0,,5,43.5775106,0.5595224117,16.25597127,0.2118884271,16.25597127,0.2118884271,8.3144e-06,11.75073703,7.875087155,19.62659224
all__kv-int8,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,int8-group64,21626880,5930360832,5930366976,338119424,113095680,0,67108864,113095680,90476544,0,0,,5,44.06245764,0.1570717801,16.39897004,0.1792152112,16.39897004,0.1792152112,1.03524e-05,11.61998692,7.806106428,19.42675129
all__kv-rk8v4,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk8v4,16384000,5930360832,5930366976,332876544,113095680,0,67108864,113095680,90476544,0,0,,5,43.56163838,0.2891048351,16.14662327,0.1825877246,16.14662327,0.1825877246,8.9338e-06,11.75387222,7.92815366,19.68285518
all__kv-rk4v4,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk4v4,11141120,5930360832,5930366976,327633664,113095680,0,67108864,113095680,90476544,0,0,,5,43.46630406,0.3052595546,16.25660521,0.1608722115,16.25660521,0.1608722115,9.0218e-06,11.77970647,7.874337213,19.65478235
