2026/09/23 05:05:33.452, 2745 MHz, 122.32 W, 61, 0 %
2026/09/23 05:05:33.558, 2745 MHz, 122.32 W, 61, 0 %
2026/09/23 05:05:33.658, 2745 MHz, 122.32 W, 61, 0 %
2026/09/23 05:05:33.758, 2745 MHz, 122.32 W, 61, 0 %
2026/09/23 05:05:33.858, 2745 MHz, 122.32 W, 61, 0 %
2026/09/23 05:05:33.959, 2745 MHz, 122.32 W, 61, 0 %
2026/09/23 05:05:34.059, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.159, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.259, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.359, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.459, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.559, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.659, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.759, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.860, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:34.960, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:35.060, 405 MHz, 103.84 W, 59, 0 %
2026/09/23 05:05:35.160, 2745 MHz, 84.17 W, 60, 56 %
2026/09/23 05:05:35.260, 2745 MHz, 84.17 W, 60, 56 %
2026/09/23 05:05:35.360, 2745 MHz, 84.17 W, 60, 56 %
2026/09/23 05:05:35.460, 2745 MHz, 84.17 W, 60, 56 %
2026/09/23 05:05:35.560, 2745 MHz, 84.17 W, 60, 56 %
2026/09/23 05:05:35.660, 2745 MHz, 84.17 W, 60, 56 %
2026/09/23 05:05:35.760, 2745 MHz, 123.82 W, 60, 0 %
2026/09/23 05:05:35.861, 2745 MHz, 123.82 W, 60, 0 %
2026/09/23 05:05:35.961, 2745 MHz, 123.82 W, 60, 0 %
2026/09/23 05:05:36.061, 2745 MHz, 123.82 W, 60, 0 %
2026/09/23 05:05:36.161, 2745 MHz, 133.67 W, 60, 0 %
2026/09/23 05:05:36.261, 2745 MHz, 133.67 W, 60, 0 %
2026/09/23 05:05:36.361, 2745 MHz, 133.67 W, 60, 0 %
2026/09/23 05:05:36.461, 2745 MHz, 133.67 W, 60, 0 %
2026/09/23 05:05:36.561, 2745 MHz, 133.67 W, 60, 0 %
2026/09/23 05:05:36.661, 2745 MHz, 133.67 W, 60, 0 %
2026/09/23 05:05:36.762, 2745 MHz, 133.71 W, 60, 0 %
2026/09/23 05:05:36.862, 2745 MHz, 133.71 W, 60, 0 %
2026/09/23 05:05:36.962, 2745 MHz, 133.71 W, 60, 0 %
2026/09/23 05:05:37.062, 2745 MHz, 133.71 W, 60, 0 %
2026/09/23 05:05:37.162, 2745 MHz, 133.71 W, 60, 0 %
2026/09/23 05:05:37.262, 2745 MHz, 133.76 W, 60, 58 %
2026/09/23 05:05:37.362, 2745 MHz, 133.76 W, 60, 58 %
2026/09/23 05:05:37.462, 2745 MHz, 133.76 W, 60, 58 %
2026/09/23 05:05:37.562, 2745 MHz, 133.76 W, 60, 58 %
2026/09/23 05:05:37.662, 2745 MHz, 133.76 W, 60, 58 %
2026/09/23 05:05:37.763, 2745 MHz, 135.01 W, 60, 0 %
2026/09/23 05:05:37.863, 2745 MHz, 135.01 W, 60, 0 %
2026/09/23 05:05:37.963, 2745 MHz, 135.01 W, 60, 0 %
2026/09/23 05:05:38.063, 2745 MHz, 135.01 W, 60, 0 %
2026/09/23 05:05:38.163, 2745 MHz, 135.01 W, 60, 0 %
2026/09/23 05:05:38.263, 2745 MHz, 134.19 W, 60, 49 %
2026/09/23 05:05:38.363, 2745 MHz, 134.19 W, 60, 49 %
2026/09/23 05:05:38.463, 2745 MHz, 134.19 W, 60, 49 %
2026/09/23 05:05:38.563, 2745 MHz, 134.19 W, 60, 49 %
2026/09/23 05:05:38.663, 2745 MHz, 134.19 W, 60, 49 %
2026/09/23 05:05:38.764, 2745 MHz, 134.19 W, 60, 49 %
2026/09/23 05:05:38.864, 2745 MHz, 131.01 W, 60, 100 %
2026/09/23 05:05:38.964, 2745 MHz, 131.01 W, 60, 100 %
2026/09/23 05:05:39.064, 2745 MHz, 131.01 W, 60, 100 %
2026/09/23 05:05:39.164, 2745 MHz, 131.01 W, 60, 100 %
